seed,tv,total_wall_s,warmup_compile_s,sampling_compile_s,divergences,max_rhat,min_ess,leapfrog_steps,warmup_leapfrog_steps,fraction_chains_switching_mode,observations
3,0.03980054503627732,8.829459792003036,5.31506203400204,3.514397758000996,37,2.823493191235341,18.3567935585487,968328,378445,0.0,4
17,0.051999551102296905,9.409829441996408,5.51301513299768,3.896814308998728,123,2.810548637285664,18.46067478510259,1125971,415914,0.0,4
41,0.10016407941044772,9.206337925003027,5.584195774001273,3.6221421510017535,178,2.8630153208594566,18.31978637375122,1024704,447164,0.0,4
3,0.054049656077733724,10.67994778299908,6.151615613998729,4.52833216900035,6,1.0063534912520888,6176.435148247405,2018423,794685,1.0,2
17,0.04935384475756344,10.793976434000797,6.105721078001807,4.68825535599899,2,1.0047513269162502,5860.560457167495,2134370,806789,1.0,2
41,0.05583979379154037,12.006925779995072,6.304324049997376,5.702601729997696,12,1.0072066834073983,5577.141070816203,2073563,794714,1.0,2
